Entity,Code,Date,Confirmed COVID-19 deaths per million people (deaths per million),Year,Population density (people per sq. km of land area) (Rate)
Angola,AGO,03-Apr-20,0.061,2017,23.89042512
Angola,AGO,04-Apr-20,0.061,2017,23.89042512
Angola,AGO,05-Apr-20,0.061,2017,23.89042512
Angola,AGO,06-Apr-20,0.061,2017,23.89042512
Angola,AGO,07-Apr-20,0.061,2017,23.89042512
Angola,AGO,08-Apr-20,0.061,2017,23.89042512
Angola,AGO,09-Apr-20,0.061,2017,23.89042512
Angola,AGO,10-Apr-20,0.061,2017,23.89042512
Angola,AGO,11-Apr-20,0.061,2017,23.89042512
Angola,AGO,12-Apr-20,0.061,2017,23.89042512
Angola,AGO,13-Apr-20,0.061,2017,23.89042512
Angola,AGO,14-Apr-20,0.061,2017,23.89042512
Angola,AGO,15-Apr-20,0.061,2017,23.89042512
Angola,AGO,16-Apr-20,0.061,2017,23.89042512
Angola,AGO,17-Apr-20,0.061,2017,23.89042512
Angola,AGO,18-Apr-20,0.061,2017,23.89042512
Angola,AGO,19-Apr-20,0.061,2017,23.89042512
Angola,AGO,20-Apr-20,0.061,2017,23.89042512
Angola,AGO,21-Apr-20,0.061,2017,23.89042512
Angola,AGO,22-Apr-20,0.061,2017,23.89042512
Angola,AGO,23-Apr-20,0.061,2017,23.89042512
Angola,AGO,24-Apr-20,0.061,2017,23.89042512
Angola,AGO,25-Apr-20,0.061,2017,23.89042512
Angola,AGO,26-Apr-20,0.061,2017,23.89042512
Angola,AGO,27-Apr-20,0.061,2017,23.89042512
Angola,AGO,28-Apr-20,0.061,2017,23.89042512
Angola,AGO,29-Apr-20,0.061,2017,23.89042512
Angola,AGO,30-Apr-20,0.061,2017,23.89042512
Angola,AGO,01-May-20,0.061,2017,23.89042512
Angola,AGO,02-May-20,0.061,2017,23.89042512
Angola,AGO,03-May-20,0.061,2017,23.89042512
Angola,AGO,04-May-20,0.061,2017,23.89042512
Angola,AGO,05-May-20,0.061,2017,23.89042512
Angola,AGO,06-May-20,0.061,2017,23.89042512
Angola,AGO,07-May-20,0.061,2017,23.89042512
Angola,AGO,08-May-20,0.061,2017,23.89042512
Angola,AGO,09-May-20,0.061,2017,23.89042512
Angola,AGO,10-May-20,0.061,2017,23.89042512
Angola,AGO,11-May-20,0.061,2017,23.89042512
Angola,AGO,12-May-20,0.061,2017,23.89042512
Angola,AGO,13-May-20,0.061,2017,23.89042512
Angola,AGO,14-May-20,0.061,2017,23.89042512
Angola,AGO,15-May-20,0.061,2017,23.89042512
Angola,AGO,16-May-20,0.061,2017,23.89042512
Angola,AGO,17-May-20,0.061,2017,23.89042512
Angola,AGO,18-May-20,0.061,2017,23.89042512
Angola,AGO,19-May-20,0.061,2017,23.89042512
Angola,AGO,20-May-20,0.061,2017,23.89042512
Angola,AGO,21-May-20,0.091,2017,23.89042512
Angola,AGO,22-May-20,0.091,2017,23.89042512
Angola,AGO,23-May-20,0.091,2017,23.89042512
Angola,AGO,24-May-20,0.091,2017,23.89042512
Angola,AGO,25-May-20,0.122,2017,23.89042512
Angola,AGO,26-May-20,0.122,2017,23.89042512
Angola,AGO,27-May-20,0.122,2017,23.89042512
Angola,AGO,28-May-20,0.122,2017,23.89042512
Angola,AGO,29-May-20,0.122,2017,23.89042512
Angola,AGO,30-May-20,0.122,2017,23.89042512
Anguilla,AIA,27-Mar-20,0,,
Anguilla,AIA,28-Mar-20,0,,
Anguilla,AIA,29-Mar-20,0,,
Anguilla,AIA,30-Mar-20,0,,
Anguilla,AIA,31-Mar-20,0,,
Anguilla,AIA,01-Apr-20,0,,
Anguilla,AIA,02-Apr-20,0,,
Anguilla,AIA,03-Apr-20,0,,
Anguilla,AIA,04-Apr-20,0,,
Anguilla,AIA,05-Apr-20,0,,
Anguilla,AIA,06-Apr-20,0,,
Anguilla,AIA,07-Apr-20,0,,
Anguilla,AIA,08-Apr-20,0,,
Anguilla,AIA,09-Apr-20,0,,
Anguilla,AIA,10-Apr-20,0,,
Anguilla,AIA,11-Apr-20,0,,
Anguilla,AIA,12-Apr-20,0,,
Anguilla,AIA,13-Apr-20,0,,
Anguilla,AIA,14-Apr-20,0,,
Anguilla,AIA,15-Apr-20,0,,
Anguilla,AIA,16-Apr-20,0,,
Anguilla,AIA,17-Apr-20,0,,
Anguilla,AIA,18-Apr-20,0,,
Anguilla,AIA,19-Apr-20,0,,
Anguilla,AIA,20-Apr-20,0,,
Anguilla,AIA,21-Apr-20,0,,
Anguilla,AIA,22-Apr-20,0,,
Anguilla,AIA,23-Apr-20,0,,
Anguilla,AIA,24-Apr-20,0,,
Anguilla,AIA,25-Apr-20,0,,
Anguilla,AIA,26-Apr-20,0,,
Anguilla,AIA,27-Apr-20,0,,
Anguilla,AIA,28-Apr-20,0,,
Anguilla,AIA,29-Apr-20,0,,
Anguilla,AIA,30-Apr-20,0,,
Anguilla,AIA,01-May-20,0,,
Anguilla,AIA,02-May-20,0,,
Anguilla,AIA,03-May-20,0,,
Anguilla,AIA,04-May-20,0,,
Anguilla,AIA,05-May-20,0,,
Anguilla,AIA,06-May-20,0,,
Anguilla,AIA,07-May-20,0,,
Anguilla,AIA,08-May-20,0,,
Anguilla,AIA,09-May-20,0,,
Anguilla,AIA,10-May-20,0,,
Anguilla,AIA,11-May-20,0,,
Anguilla,AIA,12-May-20,0,,
Anguilla,AIA,13-May-20,0,,
Anguilla,AIA,14-May-20,0,,
Anguilla,AIA,15-May-20,0,,
